Mod:Item:MetaData, Localized Name
minecraft:lime_shulker_box, Lime Shulker Box
minecraft:pink_shulker_box, Pink Shulker Box
minecraft:gray_shulker_box, Gray Shulker Box
minecraft:silver_shulker_box, Light Gray Shulker Box
minecraft:cyan_shulker_box, Cyan Shulker Box
minecraft:purple_shulker_box, Purple Shulker Box
minecraft:blue_shulker_box, Blue Shulker Box
minecraft:brown_shulker_box, Brown Shulker Box
minecraft:green_shulker_box, Green Shulker Box
minecraft:red_shulker_box, Red Shulker Box
minecraft:black_shulker_box, Black Shulker Box
minecraft:white_glazed_terracotta, White Glazed Terracotta
minecraft:orange_glazed_terracotta, Orange Glazed Terracotta
minecraft:magenta_glazed_terracotta, Magenta Glazed Terracotta
minecraft:light_blue_glazed_terracotta, Light Blue Glazed Terracotta
minecraft:yellow_glazed_terracotta, Yellow Glazed Terracotta
minecraft:lime_glazed_terracotta, Lime Glazed Terracotta
minecraft:pink_glazed_terracotta, Pink Glazed Terracotta
minecraft:gray_glazed_terracotta, Gray Glazed Terracotta
minecraft:silver_glazed_terracotta, Light Gray Glazed Terracotta
minecraft:cyan_glazed_terracotta, Cyan Glazed Terracotta
minecraft:purple_glazed_terracotta, Purple Glazed Terracotta
minecraft:blue_glazed_terracotta, Blue Glazed Terracotta
minecraft:brown_glazed_terracotta, Brown Glazed Terracotta
minecraft:green_glazed_terracotta, Green Glazed Terracotta
minecraft:red_glazed_terracotta, Red Glazed Terracotta
minecraft:black_glazed_terracotta, Black Glazed Terracotta
minecraft:concrete:0, White Concrete
minecraft:concrete:1, Orange Concrete
minecraft:concrete:2, Magenta Concrete
minecraft:concrete:3, Light Blue Concrete
minecraft:concrete:4, Yellow Concrete
minecraft:concrete:5, Lime Concrete
minecraft:concrete:6, Pink Concrete
minecraft:concrete:7, Gray Concrete
minecraft:concrete:8, Light Gray Concrete
minecraft:concrete:9, Cyan Concrete
minecraft:concrete:10, Purple Concrete
minecraft:concrete:11, Blue Concrete
minecraft:concrete:12, Brown Concrete
minecraft:concrete:13, Green Concrete
minecraft:concrete:14, Red Concrete
minecraft:concrete:15, Black Concrete
minecraft:concrete_powder:0, White Concrete Powder
minecraft:concrete_powder:1, Orange Concrete Powder
minecraft:concrete_powder:2, Magenta Concrete Powder
minecraft:concrete_powder:3, Light Blue Concrete Powder
minecraft:concrete_powder:4, Yellow Concrete Powder
minecraft:concrete_powder:5, Lime Concrete Powder
minecraft:concrete_powder:6, Pink Concrete Powder
minecraft:concrete_powder:7, Gray Concrete Powder
minecraft:concrete_powder:8, Light Gray Concrete Powder
minecraft:concrete_powder:9, Cyan Concrete Powder
minecraft:concrete_powder:10, Purple Concrete Powder
minecraft:concrete_powder:11, Blue Concrete Powder
minecraft:concrete_powder:12, Brown Concrete Powder
minecraft:concrete_powder:13, Green Concrete Powder
minecraft:concrete_powder:14, Red Concrete Powder
minecraft:concrete_powder:15, Black Concrete Powder
minecraft:structure_block, Structure Block
minecraft:iron_shovel, Iron Shovel
minecraft:iron_pickaxe, Iron Pickaxe
minecraft:iron_axe, Iron Axe
minecraft:flint_and_steel, Flint and Steel
minecraft:apple, Apple
minecraft:bow, Bow
minecraft:arrow, Arrow
minecraft:coal:0, Coal
minecraft:coal:1, Charcoal
minecraft:diamond, Diamond
minecraft:iron_ingot, Iron Ingot
minecraft:gold_ingot, Gold Ingot
minecraft:iron_sword, Iron Sword
minecraft:wooden_sword, Wooden Sword
minecraft:wooden_shovel, Wooden Shovel
minecraft:wooden_pickaxe, Wooden Pickaxe
minecraft:wooden_axe, Wooden Axe
minecraft:stone_sword, Stone Sword
minecraft:stone_shovel, Stone Shovel
minecraft:stone_pickaxe, Stone Pickaxe
minecraft:stone_axe, Stone Axe
minecraft:diamond_sword, Diamond Sword
minecraft:diamond_shovel, Diamond Shovel
minecraft:diamond_pickaxe, Diamond Pickaxe
minecraft:diamond_axe, Diamond Axe
minecraft:stick, Stick
minecraft:bowl, Bowl
minecraft:mushroom_stew, Mushroom Stew
minecraft:golden_sword, Golden Sword
minecraft:golden_shovel, Golden Shovel
minecraft:golden_pickaxe, Golden Pickaxe
minecraft:golden_axe, Golden Axe
minecraft:string, String
minecraft:feather, Feather
minecraft:gunpowder, Gunpowder
minecraft:wooden_hoe, Wooden Hoe
minecraft:stone_hoe, Stone Hoe
minecraft:iron_hoe, Iron Hoe
minecraft:diamond_hoe, Diamond Hoe
minecraft:golden_hoe, Golden Hoe
minecraft:wheat_seeds, Seeds
minecraft:wheat, Wheat
minecraft:bread, Bread
minecraft:leather_helmet, Leather Cap
minecraft:leather_chestplate, Leather Tunic
minecraft:leather_leggings, Leather Pants
minecraft:leather_boots, Leather Boots
minecraft:chainmail_helmet, Chain Helmet
minecraft:chainmail_chestplate, Chain Chestplate
minecraft:chainmail_leggings, Chain Leggings
minecraft:chainmail_boots, Chain Boots
minecraft:iron_helmet, Iron Helmet
minecraft:iron_chestplate, Iron Chestplate
minecraft:iron_leggings, Iron Leggings
minecraft:iron_boots, Iron Boots
minecraft:diamond_helmet, Diamond Helmet
minecraft:diamond_chestplate, Diamond Chestplate
minecraft:diamond_leggings, Diamond Leggings
minecraft:diamond_boots, Diamond Boots
minecraft:golden_helmet, Golden Helmet
minecraft:golden_chestplate, Golden Chestplate
minecraft:golden_leggings, Golden Leggings
minecraft:golden_boots, Golden Boots
minecraft:flint, Flint
minecraft:porkchop, Raw Porkchop
minecraft:cooked_porkchop, Cooked Porkchop
minecraft:painting, Painting
minecraft:golden_apple:0, Golden Apple
minecraft:golden_apple:1, Golden Apple
minecraft:sign, Sign
minecraft:wooden_door, Oak Door
minecraft:bucket, Bucket
minecraft:water_bucket, Water Bucket
minecraft:lava_bucket, Lava Bucket
minecraft:minecart, Minecart
minecraft:saddle, Saddle
minecraft:iron_door, Iron Door
minecraft:redstone, Redstone
minecraft:snowball, Snowball
minecraft:boat, Oak Boat
minecraft:leather, Leather
minecraft:milk_bucket, Milk
minecraft:brick, Brick
minecraft:clay_ball, Clay
minecraft:reeds, Sugar Canes
minecraft:paper, Paper
minecraft:book, Book
minecraft:slime_ball, Slimeball
minecraft:chest_minecart, Chest Cart
minecraft:furnace_minecart, Furnace Cart
minecraft:egg, Egg
minecraft:compass, Compass
minecraft:fishing_rod, Fishing Rod
minecraft:clock, Clock
minecraft:glowstone_dust, Glowstone Dust
minecraft:fish:0, Raw Fish
minecraft:fish:1, Raw Salmon
minecraft:fish:2, Clownfish
minecraft:fish:3, Pufferfish
minecraft:cooked_fish:0, Cooked Fish
minecraft:cooked_fish:1, Cooked Salmon
minecraft:dye:0, Ink Sac
minecraft:dye:1, Rose Red
minecraft:dye:2, Cactus Green
minecraft:dye:3, Cocoa Beans
minecraft:dye:4, Lapis Lazuli
minecraft:dye:5, Purple Dye
minecraft:dye:6, Cyan Dye
minecraft:dye:7, Light Gray Dye
minecraft:dye:8, Gray Dye
minecraft:dye:9, Pink Dye
minecraft:dye:10, Lime Dye
minecraft:dye:11, Dandelion Yellow
minecraft:dye:12, Light Blue Dye
minecraft:dye:13, Magenta Dye
minecraft:dye:14, Orange Dye
minecraft:dye:15, Bone Meal
minecraft:bone, Bone
minecraft:sugar, Sugar
minecraft:cake, Cake
minecraft:bed:0, White Bed
minecraft:bed:1, Orange Bed
minecraft:bed:2, Magenta Bed
minecraft:bed:3, Light Blue Bed
minecraft:bed:4, Yellow Bed
minecraft:bed:5, Lime Bed
minecraft:bed:6, Pink Bed
minecraft:bed:7, Gray Bed
minecraft:bed:8, Light Gray Bed
minecraft:bed:9, Cyan Bed
minecraft:bed:10, Purple Bed
minecraft:bed:11, Blue Bed
minecraft:bed:12, Brown Bed
minecraft:bed:13, Green Bed
minecraft:bed:14, Red Bed
minecraft:bed:15, Black Bed
minecraft:repeater, Redstone Repeater
minecraft:cookie, Cookie
minecraft:filled_map:0, Map
minecraft:shears, Shears
minecraft:melon, Melon
minecraft:pumpkin_seeds, Pumpkin Seeds
minecraft:melon_seeds, Melon Seeds
minecraft:beef, Raw Beef
minecraft:cooked_beef, Steak
minecraft:chicken, Raw Chicken
minecraft:cooked_chicken, Cooked Chicken
minecraft:rotten_flesh, Rotten Flesh
minecraft:ender_pearl, Ender Pearl
minecraft:blaze_rod, Blaze Rod
minecraft:ghast_tear, Ghast Tear
minecraft:gold_nugget, Gold Nugget
minecraft:nether_wart, Nether Wart
minecraft:potion, Potion
minecraft:glass_bottle, Glass Bottle
minecraft:spider_eye, Spider Eye
minecraft:fermented_spider_eye, Fermented Spider Eye
minecraft:blaze_powder, Blaze Powder
minecraft:magma_cream, Magma Cream
minecraft:brewing_stand, Brewing Stand
minecraft:cauldron, Cauldron
minecraft:ender_eye, Eye of Ender
minecraft:speckled_melon, Glistering Melon
minecraft:spawn_egg, Spawn
minecraft:experience_bottle, Bottle o' Enchanting
minecraft:fire_charge, Fire Charge
minecraft:writable_book, Book and Quill
minecraft:written_book, Written Book
minecraft:emerald, Emerald
minecraft:item_frame, Item Frame
minecraft:flower_pot, Flower Pot
minecraft:carrot, Carrot
minecraft:potato, Potato
minecraft:baked_potato, Baked Potato
minecraft:poisonous_potato, Poisonous Potato
minecraft:map, Empty Map
minecraft:golden_carrot, Golden Carrot
minecraft:skull:0, Skeleton Skull
minecraft:skull:1, Wither Skeleton Skull
minecraft:skull:2, Zombie Head
minecraft:skull:3, Head
minecraft:skull:4, Creeper Head
minecraft:skull:5, Dragon Head
minecraft:carrot_on_a_stick, Carrot on a Stick
minecraft:nether_star, Nether Star
minecraft:pumpkin_pie, Pumpkin Pie
minecraft:fireworks, Firework Rocket
minecraft:firework_charge, Firework Star
minecraft:enchanted_book, Enchanted Book
minecraft:comparator, Redstone Comparator
minecraft:netherbrick, Nether Brick
minecraft:quartz, Nether Quartz
minecraft:tnt_minecart, TNT Cart
minecraft:hopper_minecart, Hopper Cart
minecraft:prismarine_shard, Prismarine Shard
minecraft:prismarine_crystals, Prismarine Crystals
minecraft:rabbit, Raw Rabbit
minecraft:cooked_rabbit, Cooked Rabbit
minecraft:rabbit_stew, Rabbit Stew
minecraft:rabbit_foot, Rabbit's Foot
minecraft:rabbit_hide, Rabbit Hide
minecraft:armor_stand, Armor Stand
minecraft:iron_horse_armor, Iron Horse Armor
minecraft:golden_horse_armor, Gold Horse Armor
minecraft:diamond_horse_armor, Diamond Horse Armor
minecraft:lead, Lead
minecraft:name_tag, Name Tag
minecraft:command_block_minecart, Minecart with Command Block
minecraft:mutton, Raw Mutton
minecraft:cooked_mutton, Cooked Mutton
minecraft:banner:15, White Banner
minecraft:banner:14, Orange Banner
minecraft:banner:13, Magenta Banner
minecraft:banner:12, Light Blue Banner
minecraft:banner:11, Yellow Banner
minecraft:banner:10, Lime Banner
minecraft:banner:9, Pink Banner
minecraft:banner:8, Gray Banner
minecraft:banner:7, Light Gray Banner
minecraft:banner:6, Cyan Banner
minecraft:banner:5, Purple Banner
minecraft:banner:4, Blue Banner
minecraft:banner:3, Brown Banner
minecraft:banner:2, Green Banner
minecraft:banner:1, Red Banner
minecraft:banner:0, Black Banner
minecraft:end_crystal, End Crystal
minecraft:spruce_door, Spruce Door
minecraft:birch_door, Birch Door
minecraft:jungle_door, Jungle Door
minecraft:acacia_door, Acacia Door
minecraft:dark_oak_door, Dark Oak Door
minecraft:chorus_fruit, Chorus Fruit
minecraft:chorus_fruit_popped, Popped Chorus Fruit
minecraft:beetroot, Beetroot
minecraft:beetroot_seeds, Beetroot Seeds
minecraft:beetroot_soup, Beetroot Soup
minecraft:dragon_breath, Dragon's Breath
minecraft:splash_potion, Splash Potion
minecraft:spectral_arrow, Spectral Arrow
minecraft:tipped_arrow, Tipped Arrow
minecraft:lingering_potion, Lingering Potion
minecraft:shield, Shield
minecraft:elytra, Elytra
minecraft:spruce_boat, Spruce Boat
minecraft:birch_boat, Birch Boat
minecraft:jungle_boat, Jungle Boat
minecraft:acacia_boat, Acacia Boat
minecraft:dark_oak_boat, Dark Oak Boat
minecraft:totem_of_undying, Totem of Undying
minecraft:shulker_shell, Shulker Shell
minecraft:iron_nugget, Iron Nugget
minecraft:knowledge_book, Knowledge Book
minecraft:record_13, Music Disc
minecraft:record_cat, Music Disc
minecraft:record_blocks, Music Disc
minecraft:record_chirp, Music Disc
minecraft:record_far, Music Disc
minecraft:record_mall, Music Disc
minecraft:record_mellohi, Music Disc
minecraft:record_stal, Music Disc
minecraft:record_strad, Music Disc
minecraft:record_ward, Music Disc
minecraft:record_11, Music Disc
minecraft:record_wait, Music Disc
adpother:iron_filter:0, Iron Filter
adpother:gold_filter:0, Golden Filter
adpother:diamond_filter:0, Diamond Filter
adpother:aerometer, Aerometer
adpother:iron_vacuum_bag, Iron Vacuum Bag
adpother:iron_vacuum_tube, Iron Vacuum Tube
adpother:iron_respirator, Iron Respirator
adpother:gold_vacuum_bag, Golden Vacuum Bag
adpother:gold_vacuum_tube, Golden Vacuum Tube
adpother:gold_respirator, Golden Respirator
adpother:diamond_vacuum_bag, Diamond Vacuum Bag
adpother:diamond_vacuum_tube, Diamond Vacuum Tube
adpother:diamond_respirator, Diamond Respirator
adpother:carbon:0, Carbon
adpother:carbon:1, Carbon
adpother:carbon:2, Carbon
adpother:sulfur:0, Sulfur
adpother:sulfur:1, Sulfur
adpother:sulfur:2, Sulfur
adpother:dust:0, Dust
adpother:dust:1, Dust
adpother:dust:2, Dust
adpother:ccloud:0, Cumulus_Cloud
adpother:ccloud:1, Cumulus_Cloud
adpother:ccloud:2, Cumulus_Cloud
adpother:cloud:0, Stratus_Cloud
adpother:cloud:1, Stratus_Cloud
adpother:cloud:2, Stratus_Cloud
adpother:highcloud:0, Cirrus_Cloud
adpother:highcloud:1, Cirrus_Cloud
adpother:highcloud:2, Cirrus_Cloud
adpother:hotgas:0, Volcanic_Gas
adpother:hotgas:1, Volcanic_Gas
adpother:hotgas:2, Volcanic_Gas
adpother:hotlava:0, Volcanic_Lava
adpother:hotlava:1, Volcanic_Lava
adpother:hotlava:2, Volcanic_Lava
adpother:methane:0, Methane
adpother:methane:1, Methane
adpother:methane:2, Methane
adpother:mud:0, Mud
adpother:mud:1, Mud
adpother:mud:2, Mud
adpother:rainwater:0, Rain_Water
adpother:rainwater:1, Rain_Water
adpother:rainwater:2, Rain_Water
adpother:stomachacid:0, Gastric_juice
adpother:stomachacid:1, Gastric_juice
adpother:stomachacid:2, Gastric_juice
adpother:stormcloud:0, Cumulonimbus_Cloud
adpother:stormcloud:1, Cumulonimbus_Cloud
adpother:stormcloud:2, Cumulonimbus_Cloud
adpother:taint:0, Taint
adpother:taint:1, Taint
adpother:taint:2, Taint
adpother:volcanicash:0, Volcanic_Ash
adpother:volcanicash:1, Volcanic_Ash
adpother:volcanicash:2, Volcanic_Ash
